City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,46.0,clear sky,-33.65,115.3333,Observatory Guest House
3,Ushuaia,AR,51.8,light rain,-54.8,-68.3,Albatros Hotel
5,Sarkand,KZ,41.09,overcast clouds,45.41,79.9186,Гостиница Сарканд
6,Pustoshka,RU,34.27,overcast clouds,56.3355,29.369,Yubileinaya Hotel
9,Hami,CN,47.28,overcast clouds,42.8,93.45,Laoyutang Resort
10,Vila,PT,39.99,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
24,Nikolskoye,RU,32.0,snow,59.7035,30.7861,Tourist House - Sablino
30,Tasiilaq,GL,15.8,scattered clouds,65.6145,-37.6368,The Red House
35,Belyy Yar,RU,24.8,snow,53.6039,91.3903,Pasportnyy Stol
36,Sept-Iles,CA,28.99,overcast clouds,50.2001,-66.3821,Comfort Inn
37,Deep River,CA,26.6,light snow,46.1001,-77.4995,Deep River Motel
42,Anapskaya,RU,26.6,overcast clouds,44.89,37.38,Continent Hotel
51,Kodiak,US,24.8,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
52,Ostersund,SE,28.4,overcast clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
54,Jamestown,US,46.4,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
55,Grindavik,IS,30.2,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
57,Severo-Kurilsk,RU,24.03,overcast clouds,50.6789,156.125,Kak Doma
58,Honningsvag,NO,26.22,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
70,Leh,IN,14.92,clear sky,34.1667,77.5833,Hotel Ladakh Greens
80,Dryden,CA,26.6,clear sky,49.7833,-92.7503,Holiday Inn Express Dryden
83,Okha,RU,22.32,scattered clouds,53.5739,142.9478,Империя
85,Iisalmi,FI,19.4,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
92,Saint George,US,44.01,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
94,Port Hardy,CA,44.6,light rain,50.6996,-127.4199,Airport Inn
96,Utica,US,50.0,broken clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
103,Gillette,US,42.8,overcast clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
118,Cairo Montenotte,IT,52.0,clear sky,44.4031,8.2746,Albergo della Stazione
125,Ayr,GB,39.0,overcast clouds,55.4627,-4.6339,Mercure Ayr Hotel
130,Porosozero,RU,20.3,light snow,62.7191,32.727,Porosozero
132,Penzance,GB,48.2,broken clouds,50.1186,-5.5371,Artist Residence Penzance
133,Hofn,IS,36.07,overcast clouds,64.2539,-15.2082,Hótel Höfn
138,Juneau,US,32.0,mist,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
142,Leshukonskoye,RU,13.75,broken clouds,64.8989,45.7622,Pryalitsa Hostel
143,Kremze,CZ,36.0,scattered clouds,48.905,14.3057,Penzion u Sevcu
144,Broome,US,51.8,clear sky,42.2506,-75.833,Chenango Valley State Park
152,Komsomolskiy,UZ,50.0,scattered clouds,40.4272,71.7189,Ikathouse
159,Griffith,US,46.99,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
161,Katsuura,JP,53.01,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
162,Beidao,CN,45.59,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
