City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saldanha,-33.0117,17.9442,57.2,62,100,1.14,ZA,2021-03-08 22:09:04
1,Torbay,47.6666,-52.7314,28.0,63,75,6.91,CA,2021-03-08 22:09:05
2,Ancud,-41.8697,-73.8203,64.0,58,0,6.91,CL,2021-03-08 22:09:05
3,Bluff,-46.6,168.3333,62.01,71,83,4.0,NZ,2021-03-08 22:09:06
4,Tuatapere,-46.1333,167.6833,62.01,71,77,4.0,NZ,2021-03-08 22:09:06
5,Ushuaia,-54.8,-68.3,60.8,48,40,16.11,AR,2021-03-08 22:09:06
6,Port-Cartier,50.0334,-66.8654,27.0,68,20,9.22,CA,2021-03-08 22:09:07
7,Georgetown,5.4112,100.3354,79.0,83,20,2.3,MY,2021-03-08 22:06:17
8,Bosaso,11.2842,49.1816,76.21,78,4,3.09,SO,2021-03-08 22:09:07
9,Kabanjahe,3.1001,98.4908,75.2,100,20,3.44,ID,2021-03-08 22:09:08
10,Rikitea,-23.1203,-134.9692,80.92,81,33,12.12,PF,2021-03-08 22:09:08
11,Tigzirt,36.8886,4.1198,54.48,85,73,11.88,DZ,2021-03-08 22:09:08
12,Punta Arenas,-53.15,-70.9167,60.8,55,40,23.02,CL,2021-03-08 22:09:09
13,Amapa,1.0,-52.0,74.46,98,100,1.9,BR,2021-03-08 22:09:10
14,Souillac,-20.5167,57.5167,77.0,94,20,3.44,MU,2021-03-08 22:09:10
15,San Lorenzo,-25.3333,-57.5333,86.0,48,0,8.05,PY,2021-03-08 22:09:11
16,Olafsvik,64.8945,-23.7142,35.96,85,76,2.84,IS,2021-03-08 22:09:11
17,Dunedin,-45.8742,170.5036,57.99,72,89,13.0,NZ,2021-03-08 22:09:13
18,Cape Town,-33.9258,18.4232,62.01,67,0,2.3,ZA,2021-03-08 22:08:06
19,Lincoln,40.8,-96.667,73.4,27,1,18.41,US,2021-03-08 22:09:14
